"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Bam Adebayo","MIA",76,2554,9.393880335217306,3.293704930812707,0.14013266998341625,1.2473202104852856,2.202299746638082,0.5663716814159292,0,0,0,0.7990645098421361,0.5663716814159292,0.599290780141844,0.5078275000000001,0.9939582927304619,1.5786396413954396,0.7168141592920354,0.6296296296296297,0.21568627450980393,0,0,0,0,0,0,0,0,0,0,0.4092769440654843
"Duncan Robinson","MIA",77,2266,9.438886472379295,2.34884732492388,0.10454985479186835,0.06524575902566333,0.13049151805132667,0.5,0.6959547629404089,1.5006524575902567,0.463768115942029,0.13049151805132667,0.68,0.6858974358974359,0.5387139999999999,0.06524575902566333,0.06524575902566333,0.04,1,1,0.26098303610265333,0.5219660722053067,0.32,0.5,1,0.43497172683775553,0.97868638538495,0.6,0.4444444444444444,1,0.15224010439321445
"Jimmy Butler","MIA",62,2094,10.004719207173196,2.6191599811231714,0.08980582524271845,0.5663048607833884,1.2269938650306749,0.46153846153846156,0.11798017932987258,0.4011326097215668,0.29411764705882354,1.1326097215667768,0.45652173913043476,0.5851063829787234,0.5161122448979591,0.37753657385559225,0.7550731477111845,0.463768115942029,0.5,0.0625,0.023596035865974516,0.04719207173194903,0.028985507246376812,0.5,0,0.09438414346389806,0.3539405379896177,0.21739130434782608,0.26666666666666666,0.5,0.33034450212364325
"Kendrick Nunn","MIA",68,1977,9.70558882235529,2.1956087824351296,0.08535402521823472,0.5988023952095808,0.9481037924151696,0.631578947368421,0.2994011976047904,0.7235528942115769,0.41379310344827586,0.0998003992015968,0.6268656716417911,0.6285714285714286,0.5144183673469387,0.2744510978043912,0.3992015968063872,0.23880597014925373,0.6875,0.7272727272727273,0.0748502994011976,0.2245508982035928,0.13432835820895522,0.3333333333333333,0.6666666666666666,0.2245508982035928,0.499001996007984,0.29850746268656714,0.45,0.8888888888888888,0.124750499001996
"Goran Dragic","MIA",63,1800,9.88891899214305,1.761040368463831,0.06226053639846743,0.270929287455974,0.5147656461663506,0.5263157894736842,0.37930100243836357,0.9482525060959089,0.4,0.0812787862367922,0.5740740740740741,0.5701754385964912,0.515389705882353,0.18965050121918178,0.2167434299647792,0.14814814814814814,0.875,0.2857142857142857,0.1083717149823896,0.2167434299647792,0.14814814814814814,0.5,0.75,0.270929287455974,0.7315090761311298,0.5,0.37037037037037035,0.7,0.2438363587103766
"Tyler Herro","MIA",59,1638,9.94343554629354,2.53051503423638,0.10506798516687268,0.6251860672819292,1.0122060136945519,0.6176470588235294,0.3572491813039595,0.5954153021732659,0.6,0.20839535576064305,0.7222222222222222,0.7327586206896551,0.4514053571428572,0.29770765108663294,0.47633224173861266,0.2962962962962963,0.625,0.4,0.05954153021732658,0.08931229532598987,0.05555555555555555,0.6666666666666666,1,0.29770765108663294,0.5061030068472759,0.3148148148148148,0.5882352941176471,1,0.11908306043465317
"Derrick Jones Jr.","MIA",63,1418,9.848751319029194,2.427013717903623,0.13555992141453832,0.8793527963418923,1.5124868097080548,0.5813953488372093,0.14069644741470277,0.457263454097784,0.3076923076923077,0.24621878297572986,0.5535714285714286,0.575,0.5433804347826087,0.7738304607808653,1.1959198030249736,0.6071428571428571,0.6470588235294118,0.18181818181818182,0.07034822370735139,0.21104467112205416,0.10714285714285714,0.3333333333333333,1,0.07034822370735139,0.24621878297572986,0.125,0.2857142857142857,1,0.10552233556102708
"Kelly Olynyk","MIA",71,1355,9.811589050835407,2.737291148240313,0.13414634146341464,0.46214006398862423,0.8887308922858158,0.52,0.42659082829719164,0.9598293636686811,0.4444444444444444,0.5332385353714895,0.5961538461538461,0.6416666666666667,0.5459599999999999,0.391041592605759,0.67543547813722,0.36538461538461536,0.5789473684210527,0.18181818181818182,0.07109847138286526,0.21329541414859582,0.11538461538461539,0.3333333333333333,1,0.35549235691432635,0.7465339495200853,0.40384615384615385,0.47619047619047616,1,0.14219694276573053
"Meyers Leonard","MIA",51,1034,9.30232558139535,1.3565891472868217,0.09061488673139159,0.3875968992248062,0.4844961240310077,0.8,0.14534883720930233,0.3875968992248062,0.375,0.14534883720930233,0.6944444444444444,0.7368421052631579,0.54345625,0.29069767441860467,0.3875968992248062,0.4444444444444444,0.75,0.5,0.04844961240310078,0.09689922480620156,0.1111111111111111,0.5,1,0.09689922480620156,0.29069767441860467,0.3333333333333333,0.3333333333333333,1,0.24224806201550386
"Jae Crowder","MIA",24,656,9.449404761904763,1.7857142857142858,0.08695652173913043,0.2976190476190476,0.44642857142857145,0.6666666666666666,0.37202380952380953,1.0416666666666667,0.35714285714285715,0.0744047619047619,0.575,0.5714285714285714,0.5564107142857143,0.2976190476190476,0.37202380952380953,0.25,0.8,0.25,0.22321428571428573,0.5952380952380952,0.4,0.375,0.6666666666666666,0.1488095238095238,0.44642857142857145,0.3,0.3333333333333333,0.5,0.0744047619047619
"Andre Iguodala","MIA",25,525,9.97229916897507,0.9233610341643582,0.08695652173913043,0.09233610341643583,0.09233610341643583,1,0.18467220683287167,0.4616805170821791,0.4,0.18467220683287167,0.6666666666666666,0.7142857142857143,0.5193375,0.09233610341643583,0.09233610341643583,0.16666666666666666,1,0,0.09233610341643583,0.2770083102493075,0.5,0.3333333333333333,1,0.09233610341643583,0.18467220683287167,0.3333333333333333,0.5,1,0.09233610341643583
"Justise Winslow","MIA",11,352,11.318242343541945,1.5978695073235685,0.0967741935483871,0.6657789613848203,1.3315579227696406,0.5,0,0.3994673768308921,0,0.2663115845539281,0.38461538461538464,0.4,0.55009,0.5326231691078562,0.9320905459387483,0.5384615384615384,0.5714285714285714,0.25,0,0.13315579227696406,0.07692307692307693,0,0,0,0.2663115845539281,0.15384615384615385,0,0,0
"Chris Silva","MIA",44,346,16.25,6.25,0.3383458646616541,2.0833333333333335,3.611111111111111,0.5769230769230769,0,0.1388888888888889,0,2.0833333333333335,0.5555555555555556,0.5769230769230769,0.512621052631579,1.8055555555555556,2.638888888888889,0.7037037037037037,0.6842105263157895,0.07692307692307693,0,0.1388888888888889,0.037037037037037035,0,0,0,0,0,0,0,0.1388888888888889
"James Johnson","MIA",18,281,8.687943262411348,1.4184397163120568,0.0784313725490196,0.5319148936170213,0.8865248226950354,0.6,0,0.5319148936170213,0,0.3546099290780142,0.375,0.4444444444444444,0.45106,0.3546099290780142,0.5319148936170213,0.375,0.6666666666666666,0.5,0,0.1773049645390071,0.125,0,0,0,0.3546099290780142,0.25,0,0,0
"Solomon Hill","MIA",11,187,11.398963730569948,1.5544041450777202,0.12244897959183673,0,0.7772020725388601,0,0.5181347150259067,1.0362694300518134,0.5,0,0.42857142857142855,0.42857142857142855,0.5527875,0,0.5181347150259067,0.2857142857142857,0,0,0.25906735751295334,0.25906735751295334,0.14285714285714285,1,1,0.25906735751295334,0.7772020725388601,0.42857142857142855,0.3333333333333333,1,0
"Gabe Vincent","MIA",9,83,9.35672514619883,3.508771929824561,0.2727272727272727,0,0.5847953216374269,0,1.1695906432748537,1.7543859649122806,0.6666666666666666,0,0.75,0.75,0.4409,0,0,0,0,0,0,0,0,0,0,1.1695906432748537,1.7543859649122806,0.75,0.6666666666666666,1,0
"Udonis Haslem","MIA",4,44,5.813953488372093,0,0,0,0,0,0,1.1627906976744187,0,0,0,0,0.56355,0,0,0,0,0,0,0,0,0,0,0,1.1627906976744187,1,0,0,0
"Dion Waiters","MIA",3,42,5.9523809523809526,0,0,0,0,0,0,1.1904761904761905,0,0,0,0,0.5778,0,0,0,0,0,0,0,0,0,0,0,1.1904761904761905,1,0,0,1.1904761904761905
"KZ Okpala","MIA",5,26,10.638297872340425,0,0,0,2.127659574468085,0,0,0,0,0,0,0,0.5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daryl Macon","MIA",4,14,7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Alexander","MIA",2,13,19.35483870967742,6.451612903225806,1,3.225806451612903,6.451612903225806,0.5,0,0,0,0,0.5,0.5,0.59845,3.225806451612903,6.451612903225806,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
