"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Jrue Holiday","NOP",61,2117,4.0793825799338475,2.624035281146637,1.4553472987872105,0.6432432432432432,0.8599779492833517,0.11025358324145534,1.7640573318632855,0.7938257993384785,0.2205071664829107,0,0.08820286659316427,0
"Brandon Ingram","NOP",62,2104,4.152933421226104,2.087453306965502,2.065480114260602,0.5026455026455027,0.988793671720501,0.13183915622940012,1.098659635245001,0.5273566249176005,0.35157108327840036,0,0.17578554163920018,0
"Lonzo Ball","NOP",63,2025,4.4276210139940355,2.8446891488873596,1.582931865106676,0.6424870466321243,0.5276439550355586,0.13764624913971094,2.317045193851801,0.6423491626519844,0.3211745813259922,0,0.06882312456985547,0.022941041523285157
"Josh Hart","NOP",65,1755,1.9989339019189765,1.2260127931769722,0.7729211087420043,0.6133333333333333,0.5330490405117271,0,0.6929637526652452,0.26652452025586354,0.13326226012793177,0,0.13326226012793177,0
"JJ Redick","NOP",60,1581,2.1770682148040637,1.2481857764876634,0.9288824383164006,0.5733333333333334,0.37735849056603776,0.11611030478955008,0.8708272859216255,0.1741654571843251,0.23222060957910015,0,0.23222060957910015,0
"Derrick Favors","NOP",51,1243,2.071563088512241,0.8662900188323918,1.2052730696798493,0.41818181818181815,0.15065913370998116,0,0.7156308851224106,0.3389830508474576,0.263653483992467,0.07532956685499058,0,0
"Jaxson Hayes","NOP",64,1080,2.2524436889077775,0.8924776880577986,1.3599660008499788,0.39622641509433965,0.16999575010624735,0.042498937526561836,0.7224819379515512,0.08499787505312367,0.08499787505312367,0,0,0.08499787505312367
"Nicolo Melli","NOP",60,1042,2.078626299141437,0.9941256213285133,1.0845006778129236,0.4782608695652174,0.4066877541798464,0.13556258472661545,0.587437867148667,0.22593764121102575,0.3615002259376412,0.04518752824220515,0.04518752824220515,0
"E'Twaun Moore","NOP",56,1020,1.8535681186283597,0.6487488415199258,1.2048192771084338,0.35,0.23169601482854496,0.04633920296570899,0.4170528266913809,0.4170528266913809,0.3707136237256719,0,0.04633920296570899,0
"Kenrich Williams","NOP",39,832,1.2557077625570776,0.6278538812785388,0.6278538812785388,0.5,0.228310502283105,0.17123287671232876,0.3995433789954338,0.228310502283105,0.05707762557077625,0,0,0
"Frank Jackson","NOP",59,797,2.8209556706966032,0.9786989061600461,1.8422567645365573,0.3469387755102041,0.3454231433506045,0.11514104778353483,0.6332757628094415,0.28785261945883706,0.5181347150259067,0,0.17271157167530224,0
"Zion Williamson","NOP",24,668,4.071773636991028,2.139406487232574,1.932367149758454,0.5254237288135594,1.3802622498274673,0.3450655624568668,0.759144237405107,0.5521048999309869,0.27605244996549344,0,0.13802622498274672,0
"Nickeil Alexander-Walker","NOP",47,591,4.313099041533547,2.7955271565495208,1.5175718849840256,0.6481481481481481,0.5591054313099042,0.07987220447284345,2.236421725239617,0.7987220447284346,0.23961661341853036,0,0,0
"Jahlil Okafor","NOP",30,467,3.889457523029683,0.8188331627430911,3.0706243602865917,0.21052631578947367,0.5117707267144319,0.3070624360286592,0.3070624360286592,0.3070624360286592,0.6141248720573184,0.1023541453428864,0,0
"Zylan Cheatham","NOP",4,51,3.669724770642202,0.9174311926605505,2.7522935779816513,0.25,0,0,0.9174311926605505,0,0.9174311926605505,0,0.9174311926605505,0
"Sindarius Thornwell","NOP",2,35,2.816901408450704,1.408450704225352,1.408450704225352,0.5,0,0,1.408450704225352,0,0,0,0,0
"Josh Gray","NOP",2,23,10.638297872340425,8.51063829787234,2.127659574468085,0.8,0,0,8.51063829787234,2.127659574468085,0,0,0,0
